Designator,Mid X,Mid Y,Rotation,Layer
C1,137.4,-70.4,0.0,top
C2,134.02,-72.25,180.0,top
C239,176.27,-54.5,0.0,top
C240,175.95,-60.15,0.0,top
C242,137.95,-64.85,0.0,top
C243,179.5,-55.2,270.0,top
C244,185.0,-55.2,90.0,top
C3,130.0,-67.4,90.0,top
C4,127.75,-69.73,270.0,top
C5,147.8,-59.4,180.0,top
C51,137.4,-57.6,0.0,top
C52,134.65,-60.9,90.0,top
C53,141.55,-57.6,180.0,top
D5,162.85,-62.25,90.0,top
D7,128.0,-65.2,270.0,top
D8,168.05,-57.5,90.0,top
IC1,132.25,-70.0,0.0,top
IC2,139.25,-61.15,0.0,top
IC8,174.5,-57.4,270.0,top
IC9,182.25,-56.7,0.0,top
J1,137.225,-77.97,0.0,top
J2,161.38,-76.6,90.0,top
J23,146.7,-44.1,270.0,top
J24,146.55,-49.15,270.0,top
J25,166.6,-44.8,0.0,top
J26,179.725,-48.975,0.0,top
J28,160.59,-56.125,270.0,top
J29,158.9,-61.1,90.0,top
J32,187.475,-56.475,0.0,top
L1,132.0,-59.4,270.0,top
R1,126.0,-69.73,90.0,top
R171,163.75,-64.5,0.0,top
R173,128.0,-60.4125,90.0,top
R174,170.5,-58.75,0.0,top
R2,126.0,-72.8,90.0,top
R37,145.1,-61.4,180.0,top
R38,145.1,-62.9,0.0,top
R39,145.1,-64.45,0.0,top
R40,144.6,-58.75,270.0,top
R41,147.8,-57.8,0.0,top
